COREF,chapter,cat,COREF_head,count
313,14,PER,-1,1
313,17,PER,-1,1
313,19,PER,-1,4
313,20,PER,-1,2
313,21,PER,-1,1
314,0,PER,-1,1
314,19,PER,-1,2
316,0,PER,-1,1
317,0,PER,-1,1
318,0,PER,-1,1
320,0,PER,-1,1
321,0,PER,-1,3
322,0,FAC,-1,1
325,0,FAC,-1,1
326,0,PER,-1,1
327,0,PER,-1,1
328,0,GPE,-1,1
329,0,PER,-1,1
330,0,PER,-1,1
330,2,PER,-1,2
330,13,PER,-1,1
330,21,PER,-1,2
332,0,FAC,-1,1
332,6,FAC,-1,1
332,7,FAC,-1,1
333,0,PER,-1,12
335,0,FAC,-1,1
336,0,FAC,-1,1
337,0,FAC,-1,2
337,12,FAC,-1,1
337,19,FAC,-1,1
338,0,PER,-1,1
339,0,GPE,-1,1
341,0,PER,-1,1
342,0,PER,-1,1
343,0,PER,-1,1
343,4,PER,-1,1
343,5,PER,-1,1
343,8,PER,-1,1
343,19,PER,-1,1
344,0,PER,-1,1
346,0,PER,-1,1
347,0,PER,-1,1
348,1,PER,-1,1
349,1,PER,-1,1
350,1,PER,-1,1
350,2,PER,-1,1
350,7,PER,-1,1
350,22,PER,-1,1
351,1,PER,-1,1
352,1,PER,-1,1
353,1,PER,-1,1
354,1,PER,-1,1
355,1,PER,-1,1
356,1,PER,-1,1
357,1,PER,-1,1
357,4,PER,-1,1
358,1,PER,-1,1
359,1,PER,-1,1
359,10,PER,-1,1
359,20,PER,-1,1
360,1,PER,-1,1
360,3,PER,-1,1
360,5,PER,-1,1
360,6,PER,-1,4
360,8,PER,-1,1
360,9,PER,-1,9
360,11,PER,-1,5
360,12,PER,-1,2
360,13,PER,-1,3
360,15,PER,-1,2
360,16,PER,-1,2
360,17,PER,-1,2
360,20,PER,-1,5
360,21,PER,-1,1
362,1,PER,-1,1
362,10,PER,-1,2
362,20,PER,-1,1
363,1,PER,-1,1
364,1,PER,-1,1
366,1,FAC,-1,1
368,1,FAC,-1,1
369,1,PER,-1,2
370,1,FAC,-1,1
371,1,FAC,-1,1
372,1,FAC,-1,1
373,1,FAC,-1,1
373,4,FAC,-1,1
373,10,FAC,-1,1
374,1,FAC,-1,1
374,15,FAC,-1,2
375,1,PER,-1,3
375,2,PER,-1,1
375,7,PER,-1,1
375,10,PER,-1,6
375,19,PER,-1,1
375,20,PER,-1,1
376,1,PER,-1,2
377,1,PER,-1,1
378,1,FAC,-1,2
378,1,GPE,-1,2
378,2,GPE,-1,2
378,4,FAC,-1,2
378,5,FAC,-1,1
378,7,FAC,-1,1
378,9,FAC,-1,1
378,9,GPE,-1,2
378,11,FAC,-1,1
378,12,FAC,-1,4
378,13,FAC,-1,2
378,16,FAC,-1,1
378,18,FAC,-1,3
378,19,FAC,-1,3
378,20,FAC,-1,1
378,21,FAC,-1,1
379,1,FAC,-1,1
380,1,FAC,-1,1
381,1,FAC,-1,1
381,3,FAC,-1,1
381,4,FAC,-1,1
381,9,FAC,-1,1
381,11,FAC,-1,1
381,12,FAC,-1,2
381,14,FAC,-1,3
385,1,PER,-1,2
386,1,PER,-1,1
386,15,PER,-1,1
386,21,PER,-1,1
388,1,PER,-1,1
389,1,FAC,-1,1
390,1,FAC,-1,1
391,1,FAC,-1,1
392,1,PER,-1,1
392,5,PER,-1,1
392,6,PER,-1,2
392,15,PER,-1,2
392,18,PER,-1,1
392,19,PER,-1,3
392,20,PER,-1,1
392,21,PER,-1,4
392,22,PER,-1,1
393,1,FAC,-1,1
394,1,PER,-1,1
395,1,PER,-1,1
399,1,FAC,-1,1
399,3,FAC,-1,1
399,15,FAC,-1,1
400,1,PER,-1,1
400,4,PER,-1,1
401,1,PER,-1,1
403,1,PER,-1,1
404,1,PER,-1,1
404,21,PER,-1,1
405,1,PER,-1,1
406,1,PER,-1,1
407,1,FAC,-1,1
407,2,FAC,-1,1
407,4,FAC,-1,1
407,5,FAC,-1,1
407,6,FAC,-1,2
407,7,FAC,-1,4
407,8,FAC,-1,1
407,9,FAC,-1,2
407,10,FAC,-1,1
407,12,FAC,-1,3
407,13,FAC,-1,1
407,14,FAC,-1,1
407,15,FAC,-1,2
407,16,FAC,-1,1
407,17,FAC,-1,6
407,18,FAC,-1,1
407,20,FAC,-1,5
407,21,FAC,-1,5
410,2,PER,-1,1
412,2,PER,-1,6
412,3,PER,-1,7
412,5,PER,-1,10
412,6,PER,-1,2
412,7,PER,-1,39
412,8,PER,-1,2
412,9,PER,-1,10
412,11,PER,-1,21
412,16,PER,-1,59
413,2,PER,-1,1
414,2,PER,-1,1
415,2,LOC,-1,1
416,2,GPE,-1,1
417,2,FAC,-1,1
418,2,PER,-1,2
419,2,PER,-1,1
420,2,PER,-1,1
422,2,PER,-1,1
423,2,FAC,-1,1
424,2,PER,-1,1
426,2,FAC,-1,2
427,2,FAC,-1,1
428,2,FAC,-1,1
431,2,PER,-1,1
433,2,PER,-1,1
434,2,PER,-1,1
434,4,PER,-1,1
434,7,PER,-1,1
434,21,PER,-1,2
436,2,PER,-1,2
437,2,PER,-1,1
438,2,PER,-1,1
440,2,PER,-1,1
440,14,PER,-1,1
440,22,PER,-1,1
443,2,PER,-1,1
444,2,PER,-1,1
446,2,FAC,-1,2
446,11,FAC,-1,2
446,13,FAC,-1,1
446,14,FAC,-1,1
446,20,FAC,-1,1
446,21,FAC,-1,1
449,2,PER,-1,1
451,2,PER,-1,1
452,2,PER,-1,1
453,2,PER,-1,1
454,2,GPE,-1,1
454,20,GPE,-1,1
455,2,PER,-1,4
457,2,PER,-1,1
458,2,PER,-1,1
459,2,PER,-1,1
461,2,FAC,-1,1
462,2,PER,-1,1
463,2,PER,-1,1
464,2,PER,-1,1
465,2,PER,-1,1
466,2,PER,-1,1
467,2,PER,-1,1
469,2,PER,-1,5
469,10,PER,-1,1
469,13,PER,-1,1
469,19,PER,-1,1
470,2,PER,-1,1
471,2,PER,-1,1
472,2,PER,-1,1
474,2,PER,-1,1
474,4,PER,-1,1
474,5,PER,-1,16
474,6,PER,-1,1
474,7,PER,-1,1
474,9,PER,-1,1
474,10,PER,-1,1
474,11,PER,-1,3
474,20,PER,-1,8
475,2,VEH,-1,1
475,7,VEH,-1,1
477,2,PER,-1,1
477,4,PER,-1,2
477,5,PER,-1,1
477,6,PER,-1,1
477,7,PER,-1,1
477,8,PER,-1,3
477,11,PER,-1,2
477,13,PER,-1,2
477,16,PER,-1,1
477,17,PER,-1,3
477,20,PER,-1,2
479,3,PER,-1,2
480,3,PER,-1,1
480,7,PER,-1,1
480,10,PER,-1,1
480,11,PER,-1,1
480,17,PER,-1,2
480,19,PER,-1,1
482,3,PER,-1,1
483,3,PER,-1,1
484,3,PER,-1,1
485,3,GPE,-1,1
485,7,GPE,-1,1
488,3,PER,-1,1
489,3,PER,-1,4
490,3,PER,-1,1
490,4,PER,-1,1
490,6,PER,-1,2
490,9,PER,-1,2
490,10,PER,-1,2
490,11,PER,-1,2
490,14,PER,-1,1
490,16,PER,-1,2
490,20,PER,-1,2
490,21,PER,-1,1
491,3,PER,-1,2
493,3,PER,-1,12
494,3,PER,-1,1
495,3,PER,-1,1
496,3,PER,-1,2
497,3,PER,-1,1
499,3,PER,-1,1
500,3,PER,-1,1
501,3,PER,-1,1
502,3,PER,-1,2
504,3,PER,-1,1
504,12,PER,-1,1
504,13,PER,-1,1
504,15,PER,-1,2
505,3,PER,-1,1
506,3,PER,-1,1
507,3,PER,-1,1
509,3,FAC,-1,1
510,3,PER,-1,1
510,11,PER,-1,1
510,20,PER,-1,1
510,21,PER,-1,1
512,3,PER,-1,1
513,3,FAC,-1,1
514,3,PER,-1,1
515,3,PER,-1,1
516,3,PER,-1,1
516,11,PER,-1,2
517,3,PER,-1,1
517,8,PER,-1,9
517,20,PER,-1,4
521,3,FAC,-1,1
522,3,PER,-1,1
524,3,PER,-1,1
525,3,PER,-1,2
528,3,PER,-1,5
530,3,FAC,-1,1
534,3,GPE,-1,1
535,3,PER,-1,1
539,4,PER,-1,3
541,4,PER,-1,1
542,4,VEH,-1,1
543,4,PER,-1,1
543,6,PER,-1,1
543,9,PER,-1,3
543,11,PER,-1,1
543,13,PER,-1,1
543,17,PER,-1,4
543,20,PER,-1,1
544,4,PER,-1,2
545,4,PER,-1,1
546,4,FAC,-1,1
546,11,FAC,-1,1
547,4,PER,-1,1
547,10,PER,-1,1
547,11,PER,-1,1
547,12,PER,-1,1
547,13,PER,-1,1
547,14,PER,-1,3
547,15,PER,-1,4
547,16,PER,-1,2
547,17,PER,-1,10
547,18,PER,-1,2
547,19,PER,-1,1
547,20,PER,-1,3
547,22,PER,-1,1
549,4,FAC,-1,1
550,4,GPE,-1,1
552,4,GPE,-1,1
553,4,FAC,-1,1
554,4,FAC,-1,1
555,4,PER,-1,1
556,4,PER,-1,1
557,4,FAC,-1,2
558,4,PER,-1,2
559,4,FAC,-1,4
560,4,PER,-1,1
561,4,FAC,-1,1
562,4,FAC,-1,1
563,4,FAC,-1,1
564,4,PER,-1,1
565,4,FAC,-1,5
565,5,FAC,-1,4
565,6,FAC,-1,1
565,9,FAC,-1,1
565,15,FAC,-1,1
566,4,PER,-1,1
566,7,PER,-1,1
566,9,PER,-1,1
566,20,PER,-1,2
568,4,FAC,-1,1
569,4,PER,-1,1
570,4,PER,-1,1
571,4,FAC,-1,1
575,4,PER,-1,6
576,4,PER,-1,1
577,4,PER,-1,1
579,4,PER,-1,18
580,4,FAC,-1,1
581,4,PER,-1,1
582,4,PER,-1,1
583,4,PER,-1,1
584,4,FAC,-1,1
585,4,PER,-1,1
585,5,PER,-1,2
585,11,PER,-1,1
587,4,PER,-1,1
587,9,PER,-1,8
587,20,PER,-1,2
588,4,PER,Mr,1
589,4,PER,-1,1
590,4,PER,-1,2
590,20,PER,-1,1
591,4,PER,-1,1
592,4,PER,-1,1
593,4,PER,-1,1
595,4,PER,-1,1
597,4,PER,-1,1
598,4,PER,-1,1
599,4,PER,-1,1
601,4,PER,-1,1
604,4,PER,-1,1
605,4,PER,-1,6
606,4,FAC,-1,1
606,11,FAC,-1,1
607,4,PER,-1,3
608,4,PER,-1,1
609,4,PER,-1,1
611,4,PER,-1,1
612,4,FAC,-1,1
612,5,FAC,-1,3
612,6,FAC,-1,3
612,7,FAC,-1,2
612,8,FAC,-1,1
612,9,FAC,-1,1
612,11,FAC,-1,4
612,12,FAC,-1,1
613,4,PER,-1,1
614,4,PER,-1,10
614,9,PER,-1,1
614,11,PER,-1,1
614,12,PER,-1,5
615,4,PER,-1,1
617,4,PER,-1,4
618,4,PER,-1,1
620,4,PER,-1,1
621,4,PER,-1,1
621,19,PER,-1,1
626,4,PER,-1,1
627,4,FAC,-1,1
629,5,PER,-1,10
630,5,PER,-1,5
632,5,PER,-1,1
634,5,PER,-1,1
636,5,PER,-1,9
637,5,PER,-1,1
639,5,PER,-1,1
640,5,PER,-1,1
642,5,PER,Mr,1
643,5,PER,-1,1
643,7,PER,-1,1
644,5,PER,-1,1
646,5,PER,-1,1
648,5,PER,Mr,1
649,5,PER,-1,1
650,5,PER,-1,1
652,5,PER,-1,1
654,5,PER,-1,1
654,7,PER,-1,1
654,8,PER,-1,4
654,10,PER,-1,1
654,11,PER,-1,1
654,12,PER,-1,5
654,14,PER,-1,4
654,15,PER,-1,1
654,19,PER,-1,1
654,20,PER,-1,2
655,5,PER,-1,1
656,5,PER,-1,1
657,5,PER,-1,1
658,5,PER,-1,1
658,6,PER,-1,4
658,21,PER,-1,1
659,5,PER,-1,4
660,5,PER,-1,1
661,5,PER,-1,1
662,5,FAC,-1,1
664,5,PER,-1,1
665,5,PER,-1,1
665,8,PER,-1,1
668,5,PER,-1,1
668,7,PER,-1,3
670,5,PER,-1,1
671,5,LOC,-1,3
671,6,LOC,-1,4
671,7,LOC,-1,1
671,9,LOC,-1,1
671,10,LOC,-1,1
674,5,PER,-1,1
675,5,PER,-1,3
676,5,PER,-1,1
678,5,PER,-1,2
679,5,PER,-1,1
679,16,PER,-1,1
679,18,PER,-1,1
679,20,PER,-1,1
680,5,PER,-1,1
681,5,FAC,-1,3
681,6,FAC,-1,2
682,5,PER,-1,5
685,5,VEH,-1,1
686,5,VEH,-1,1
686,9,VEH,-1,2
686,10,VEH,-1,1
686,11,VEH,-1,2
686,12,VEH,-1,1
686,15,VEH,-1,1
686,16,VEH,-1,2
686,17,VEH,-1,1
687,5,PER,-1,25
689,5,LOC,-1,1
689,6,LOC,-1,1
689,21,LOC,-1,1
691,5,PER,-1,2
691,6,PER,-1,2
691,7,PER,-1,1
693,5,PER,-1,1
694,5,PER,-1,1
695,5,VEH,-1,1
696,5,PER,-1,2
700,5,PER,-1,17
702,5,VEH,-1,1
703,5,PER,-1,1
703,6,PER,-1,3
704,5,PER,-1,1
706,5,PER,-1,1
707,5,PER,-1,1
707,17,PER,-1,1
709,5,FAC,-1,1
712,5,PER,-1,1
714,5,PER,-1,21
714,6,PER,-1,10
714,7,PER,-1,1
714,8,PER,-1,1
715,5,PER,-1,2
718,5,PER,-1,1
719,5,PER,-1,1
721,5,PER,-1,1
722,5,PER,-1,1
727,5,PER,-1,18
729,5,PER,-1,1
730,5,PER,-1,2
731,5,PER,-1,1
732,5,PER,-1,2
732,10,PER,-1,1
734,5,PER,-1,1
738,5,PER,-1,2
738,8,PER,-1,5
740,5,PER,-1,1
740,20,PER,-1,1
741,5,PER,-1,3
741,6,PER,-1,2
741,8,PER,-1,1
744,5,PER,-1,1
748,5,PER,-1,1
751,5,FAC,-1,1
753,5,PER,-1,1
754,5,PER,-1,1
756,5,PER,-1,27
756,6,PER,-1,9
758,6,FAC,-1,1
758,7,FAC,-1,1
758,8,FAC,-1,1
758,11,FAC,-1,1
759,6,PER,-1,1
761,6,PER,-1,4
767,6,PER,-1,6
773,6,PER,-1,1
783,6,PER,-1,1
784,6,PER,-1,1
785,6,LOC,-1,1
787,6,PER,-1,1
789,6,PER,-1,2
790,6,PER,-1,4
791,6,FAC,-1,1
791,11,FAC,-1,1
794,6,PER,-1,57
795,6,PER,-1,2
797,6,PER,-1,1
799,6,PER,-1,1
800,6,PER,-1,1
801,6,PER,-1,3
801,7,PER,-1,1
801,9,PER,-1,1
801,11,PER,-1,2
801,16,PER,-1,1
801,17,PER,-1,1
802,6,PER,-1,1
803,6,PER,-1,7
804,6,FAC,-1,1
804,7,FAC,-1,2
806,6,PER,-1,2
806,8,PER,-1,37
808,6,PER,-1,1
809,6,FAC,-1,1
810,6,PER,-1,1
810,11,PER,-1,1
811,6,PER,-1,1
812,6,PER,-1,2
812,9,PER,-1,1
812,11,PER,-1,1
812,14,PER,-1,1
815,6,PER,-1,2
817,6,PER,-1,1
818,6,PER,-1,1
820,6,PER,-1,1
821,6,VEH,-1,1
822,6,VEH,-1,1
825,6,PER,-1,16
826,6,PER,-1,2
827,6,PER,-1,3
829,6,PER,-1,3
830,6,PER,-1,1
831,6,PER,-1,1
832,6,PER,-1,10
833,6,PER,-1,2
836,6,PER,-1,1
837,6,PER,-1,1
837,20,PER,-1,1
839,6,PER,-1,1
840,6,PER,-1,1
841,6,PER,-1,2
842,7,PER,-1,1
843,7,PER,-1,1
844,7,PER,-1,1
850,7,PER,-1,1
851,7,VEH,-1,1
855,7,PER,-1,1
857,7,PER,-1,1
858,7,PER,-1,1
859,7,PER,-1,1
860,7,PER,-1,3
861,7,PER,-1,1
862,7,PER,-1,1
863,7,FAC,-1,1
868,7,PER,-1,1
868,11,PER,-1,1
871,7,PER,-1,1
872,7,PER,-1,1
872,19,PER,-1,1
873,7,PER,-1,1
874,7,PER,-1,1
877,7,PER,-1,7
878,7,PER,-1,1
879,7,PER,-1,1
880,7,PER,-1,1
881,7,PER,-1,1
882,7,PER,-1,1
883,7,PER,-1,1
884,7,FAC,-1,1
887,7,FAC,-1,1
889,7,PER,-1,1
890,7,PER,-1,4
890,12,PER,-1,1
890,22,PER,-1,1
892,7,PER,-1,1
894,7,PER,-1,6
895,7,PER,-1,1
896,7,PER,-1,1
897,7,PER,-1,1
899,7,PER,-1,1
901,7,PER,-1,1
906,7,PER,-1,1
907,7,FAC,-1,1
907,8,FAC,-1,1
909,7,PER,-1,1
910,7,ORG,-1,1
912,7,PER,-1,1
913,7,PER,-1,1
916,7,PER,-1,2
916,16,PER,-1,1
916,17,PER,-1,1
916,18,PER,-1,1
916,22,PER,-1,1
917,7,PER,-1,2
919,7,PER,-1,1
923,7,PER,-1,1
924,7,PER,-1,1
925,7,PER,-1,1
926,7,PER,-1,1
928,7,PER,-1,1
929,7,PER,-1,1
930,7,PER,-1,1
931,7,FAC,-1,1
931,7,PER,-1,1
932,7,PER,-1,2
933,7,PER,-1,1
934,7,PER,-1,1
937,7,PER,-1,1
938,7,PER,-1,4
941,8,PER,-1,1
942,8,PER,-1,1
943,8,PER,-1,1
944,8,FAC,-1,1
947,8,PER,-1,13
948,8,PER,-1,1
949,8,PER,-1,1
950,8,PER,-1,1
952,8,PER,-1,1
953,8,PER,-1,1
954,8,PER,-1,1
954,11,PER,-1,2
956,8,PER,-1,1
957,8,PER,-1,1
959,8,PER,-1,2
961,8,PER,-1,1
963,8,PER,-1,1
964,8,PER,-1,1
965,8,PER,-1,6
966,8,PER,-1,1
967,8,FAC,-1,1
967,16,FAC,-1,1
968,8,PER,Mr,1
970,8,PER,-1,4
972,8,PER,-1,1
974,8,FAC,-1,1
975,8,PER,-1,2
981,8,PER,-1,1
981,10,PER,-1,5
983,8,FAC,-1,1
986,8,PER,-1,1
987,8,PER,-1,1
989,8,PER,-1,2
990,8,PER,-1,6
991,8,FAC,-1,1
994,8,LOC,-1,1
995,8,PER,-1,2
997,8,FAC,-1,1
998,8,PER,-1,1
999,8,LOC,-1,1
1000,8,LOC,-1,1
1001,8,LOC,-1,1
1002,8,FAC,-1,1
1003,8,FAC,-1,1
1004,8,FAC,-1,1
1005,8,PER,-1,1
1005,17,PER,-1,1
1009,8,PER,-1,9
1009,9,PER,-1,1
1009,13,PER,-1,3
1009,19,PER,-1,1
1009,20,PER,-1,3
1010,8,PER,-1,11
1011,8,PER,-1,1
1012,8,PER,-1,1
1012,10,PER,-1,1
1012,14,PER,-1,1
1012,16,PER,-1,2
1013,8,PER,-1,1
1014,8,LOC,-1,1
1015,8,LOC,-1,3
1015,10,LOC,-1,1
1016,8,PER,-1,1
1018,8,LOC,-1,1
1020,8,LOC,-1,1
1021,8,FAC,-1,1
1022,8,FAC,-1,1
1023,8,LOC,-1,1
1024,8,LOC,-1,1
1025,8,PER,-1,11
1026,8,PER,-1,2
1026,9,PER,-1,1
1027,9,PER,-1,1
1028,9,PER,-1,9
1029,9,FAC,-1,1
1030,9,PER,-1,1
1034,9,LOC,-1,1
1035,9,LOC,-1,1
1036,9,PER,-1,1
1038,9,PER,-1,8
1039,9,LOC,-1,1
1040,9,FAC,-1,1
1045,9,PER,-1,2
1047,9,PER,-1,1
1048,9,FAC,-1,2
1054,9,PER,-1,3
1057,9,PER,-1,2
1058,9,PER,-1,1
1058,20,PER,-1,3
1059,9,PER,-1,12
1060,9,FAC,-1,1
1062,9,PER,-1,8
1064,9,VEH,-1,1
1066,9,GPE,-1,1
1067,9,FAC,-1,1
1069,9,PER,-1,1
1070,9,FAC,-1,1
1071,9,FAC,-1,1
1072,9,PER,-1,3
1075,9,PER,-1,4
1075,12,PER,-1,1
1075,16,PER,-1,2
1075,17,PER,-1,2
1075,19,PER,-1,2
1075,20,PER,-1,3
1077,9,PER,-1,2
1080,9,LOC,-1,1
1086,9,GPE,-1,1
1089,9,VEH,-1,1
1090,9,VEH,-1,1
1091,9,PER,-1,1
1092,9,VEH,-1,1
1093,9,LOC,-1,1
1094,9,FAC,-1,1
1095,9,GPE,-1,3
1095,10,GPE,-1,1
1095,11,GPE,-1,2
1095,16,GPE,-1,1
1095,21,GPE,-1,2
1096,9,FAC,-1,1
1097,9,FAC,-1,1
1099,9,GPE,-1,1
1100,9,FAC,-1,2
1100,17,FAC,-1,2
1101,9,PER,-1,1
1102,9,PER,-1,1
1103,9,PER,-1,1
1104,9,FAC,-1,1
1106,9,FAC,-1,1
1107,9,LOC,-1,1
1108,9,LOC,-1,1
1109,9,LOC,-1,1
1111,9,PER,-1,1
1112,9,PER,-1,2
1113,9,LOC,-1,1
1114,9,FAC,-1,1
1115,9,LOC,-1,1
1116,9,LOC,-1,1
1117,9,LOC,-1,1
1118,9,LOC,-1,1
1119,9,GPE,-1,1
1120,9,LOC,-1,1
1121,9,PER,-1,1
1122,9,LOC,-1,1
1123,9,GPE,-1,1
1124,9,PER,-1,3
1125,9,FAC,-1,1
1126,9,LOC,-1,1
1127,9,PER,-1,1
1127,10,PER,-1,2
1127,11,PER,-1,1
1127,17,PER,-1,1
1129,9,FAC,-1,2
1130,9,FAC,-1,1
1131,9,FAC,-1,1
1135,9,PER,-1,1
1137,9,PER,-1,1
1138,9,PER,-1,1
1138,20,PER,-1,1
1139,9,PER,-1,1
1140,9,PER,-1,1
1141,9,PER,-1,1
1142,9,PER,-1,2
1143,9,PER,-1,3
1144,9,PER,-1,1
1146,9,PER,-1,1
1146,10,PER,-1,1
1146,21,PER,-1,5
1147,9,PER,-1,1
1147,19,PER,-1,7
1147,21,PER,-1,10
1148,9,FAC,-1,1
1149,9,FAC,-1,1
1152,9,PER,-1,13
1153,9,PER,-1,1
1154,9,PER,-1,1
1155,9,PER,-1,1
1157,9,PER,-1,1
1158,9,PER,-1,1
1159,9,FAC,-1,2
1159,10,FAC,-1,1
1159,11,FAC,-1,5
1160,9,ORG,-1,1
1161,9,PER,-1,1
1162,9,PER,-1,1
1163,9,PER,-1,1
1164,9,PER,-1,1
1165,9,FAC,-1,1
1167,9,PER,-1,1
1168,9,LOC,-1,1
1169,9,PER,-1,1
1172,9,PER,-1,9
1176,9,PER,-1,1
1177,9,PER,-1,1
1179,9,PER,-1,1
1180,9,PER,-1,3
1180,10,PER,-1,1
1180,11,PER,-1,1
1180,20,PER,-1,7
1186,9,PER,-1,1
1187,9,PER,-1,1
1188,9,PER,-1,1
1189,9,PER,-1,1
1190,9,PER,-1,1
1191,9,PER,-1,1
1192,9,PER,-1,1
1193,9,PER,-1,1
1194,10,PER,-1,1
1195,10,PER,-1,1
1196,10,PER,-1,1
1197,10,PER,-1,1
1198,10,PER,-1,3
1199,10,PER,-1,1
1201,10,LOC,-1,1
1201,12,LOC,-1,1
1202,10,LOC,-1,1
1204,10,PER,-1,1
1206,10,PER,-1,1
1207,10,PER,-1,1
1208,10,PER,-1,1
1209,10,PER,-1,1
1211,10,PER,-1,1
1212,10,PER,-1,1
1213,10,PER,-1,1
1214,10,PER,-1,1
1215,10,PER,-1,8
1216,10,FAC,-1,1
1218,10,LOC,-1,1
1221,10,PER,-1,1
1222,10,PER,-1,1
1223,10,PER,-1,7
1225,10,FAC,-1,1
1226,10,FAC,-1,1
1226,20,FAC,-1,2
1227,10,PER,-1,10
1228,10,FAC,-1,1
1229,10,PER,-1,1
1230,10,PER,-1,1
1231,10,FAC,-1,1
1232,10,PER,-1,2
1233,10,PER,-1,1
1235,10,FAC,-1,1
1235,13,FAC,-1,1
1237,10,PER,-1,1
1238,10,PER,-1,1
1240,10,PER,-1,1
1242,10,VEH,-1,1
1243,10,FAC,-1,1
1244,10,PER,-1,1
1244,16,PER,-1,1
1245,10,PER,-1,1
1246,10,PER,-1,1
1248,10,PER,-1,3
1249,10,FAC,-1,1
1251,10,PER,-1,3
1253,10,PER,-1,2
1253,11,PER,-1,1
1256,10,PER,-1,1
1256,18,PER,-1,1
1258,10,PER,-1,8
1259,10,PER,-1,5
1262,10,PER,-1,1
1264,10,FAC,-1,1
1267,10,PER,-1,12
1269,10,FAC,-1,1
1269,11,FAC,-1,1
1269,16,FAC,-1,2
1269,17,FAC,-1,2
1270,10,PER,-1,1
1271,10,PER,-1,1
1271,20,PER,-1,1
1274,10,PER,-1,13
1277,10,FAC,-1,1
1280,10,PER,-1,1
1281,10,PER,-1,1
1283,10,PER,-1,1
1285,10,PER,-1,2
1286,11,PER,-1,1
1289,11,PER,-1,1
1290,11,PER,-1,1
1291,11,PER,-1,1
1292,11,PER,-1,2
1295,11,PER,-1,1
1296,11,PER,-1,1
1297,11,PER,-1,1
1299,11,PER,-1,1
1300,11,PER,-1,1
1301,11,PER,-1,1
1302,11,PER,-1,1
1304,11,PER,-1,23
1305,11,FAC,-1,3
1305,12,FAC,-1,1
1310,11,PER,-1,9
1320,11,FAC,-1,1
1322,11,PER,-1,1
1323,11,FAC,-1,1
1324,11,PER,-1,1
1325,11,PER,-1,1
1326,11,PER,-1,1
1327,11,PER,-1,3
1330,11,FAC,-1,3
1335,11,PER,-1,11
1336,11,PER,-1,1
1336,16,PER,-1,1
1337,11,PER,Mr,1
1338,11,PER,-1,1
1340,11,VEH,-1,1
1342,11,PER,-1,1
1342,20,PER,-1,1
1342,21,PER,-1,3
1344,11,FAC,-1,1
1348,11,PER,-1,1
1350,11,PER,-1,6
1353,11,PER,-1,1
1354,11,PER,-1,1
1354,12,PER,-1,1
1354,18,PER,-1,1
1354,21,PER,-1,1
1355,11,PER,-1,1
1356,11,FAC,-1,1
1360,11,PER,-1,1
1361,11,PER,-1,3
1362,11,PER,-1,1
1362,16,PER,-1,3
1362,20,PER,-1,1
1364,11,PER,-1,4
1365,11,PER,-1,7
1366,11,LOC,-1,1
1367,11,FAC,-1,1
1367,12,FAC,-1,1
1368,11,FAC,-1,1
1369,11,LOC,-1,1
1372,11,PER,-1,1
1373,11,PER,-1,3
1374,11,VEH,-1,1
1375,11,FAC,-1,2
1376,11,PER,-1,1
1377,11,PER,Mr,1
1378,11,PER,-1,1
1378,14,PER,-1,1
1382,11,PER,-1,4
1383,11,PER,-1,1
1385,11,PER,-1,1
1387,11,PER,-1,1
1388,11,PER,-1,1
1388,22,PER,-1,1
1389,11,FAC,-1,1
1391,11,FAC,-1,2
1392,11,PER,-1,1
1393,11,PER,-1,1
1394,11,FAC,-1,1
1396,11,PER,-1,1
1399,11,FAC,-1,1
1402,11,FAC,-1,1
1404,11,LOC,-1,1
1405,11,FAC,-1,1
1406,11,FAC,-1,1
1407,11,FAC,-1,1
1409,11,PER,-1,1
1410,11,PER,-1,1
1412,11,PER,-1,4
1415,11,FAC,-1,1
1417,11,FAC,-1,1
1418,11,PER,-1,1
1419,11,FAC,-1,1
1421,11,PER,-1,5
1422,11,PER,-1,1
1424,11,PER,-1,1
1426,11,PER,-1,1
1428,11,FAC,-1,1
1431,11,PER,-1,1
1432,11,PER,-1,1
1434,11,PER,-1,1
1439,11,LOC,-1,1
1440,11,GPE,-1,1
1443,11,PER,-1,1
1449,11,PER,-1,1
1451,11,PER,-1,2
1452,11,PER,-1,2
1453,11,PER,-1,1
1454,11,FAC,-1,1
1455,11,FAC,-1,1
1456,11,FAC,-1,1
1457,11,PER,-1,1
1458,11,FAC,-1,1
1459,11,PER,-1,1
1460,12,PER,-1,1
1461,12,PER,-1,1
1463,12,FAC,-1,1
1465,12,PER,-1,3
1466,12,PER,-1,1
1467,12,PER,-1,1
1469,12,PER,-1,2
1470,12,PER,-1,2
1472,12,FAC,-1,1
1475,12,LOC,-1,1
1476,12,PER,-1,3
1477,12,PER,-1,1
1479,12,PER,-1,1
1480,12,PER,-1,1
1487,12,PER,-1,1
1490,12,PER,-1,1
1490,16,PER,-1,1
1490,21,PER,-1,1
1493,12,FAC,-1,1
1494,12,FAC,-1,1
1495,12,VEH,-1,1
1496,12,PER,-1,1
1497,12,PER,-1,1
1498,12,PER,-1,1
1500,12,FAC,-1,1
1500,12,PER,-1,2
1501,12,FAC,-1,1
1501,13,FAC,-1,2
1501,16,FAC,-1,1
1503,12,PER,-1,1
1504,12,PER,-1,1
1505,12,FAC,-1,1
1506,12,FAC,-1,1
